NAME,POS,3PM,REB,AST,STL,BLK,TO,PTS,,,,,,,,,,,,,,,,,,,,,
Shabazz Napier,,1.1,1.6,1.6,0.6,0.3,0.9,7.9,,,,,,,,,,,,,,,,,,,,,
Jonathan Isaac,,0.5,5.3,0.6,0.7,1.2,0.6,7.8,,,,,,,,,,,,,,,,,,,,,
Landry Shamet,,1.8,1.2,1,0.5,0.1,0.4,7.8,,,,,,,,,,,,,,,,,,,,,
Mikal Bridges,,1.2,1.8,0.9,1.4,0.3,0.8,7.6,,,,,,,,,,,,,,,,,,,,,
Marvin Williams,,1.3,4.4,0.9,0.8,0.9,0.6,7.6,,,,,,,,,,,,,,,,,,,,,
Miles Bridges,,0.9,4.4,0.9,0.6,0.6,0.6,7.5,,,,,,,,,,,,,,,,,,,,,
Willy Hernangomez,,0.7,4.9,1,0.5,0.6,0.9,7.5,,,,,,,,,,,,,,,,,,,,,
Ersan Ilyasova,,0.9,5.7,1.3,0.5,0.2,0.8,7.4,,,,,,,,,,,,,,,,,,,,,
Boban Marjanovic,,0,4.4,0.5,0.3,0.9,0.9,7.4,,,,,,,,,,,,,,,,,,,,,
Jonathon Simmons,,0.4,2.6,2.2,0.4,0.6,1.2,7.2,,,,,,,,,,,,,,,,,,,,,
Dwayne Bacon,,0.8,2.2,0.9,0.2,0,0.4,7.2,,,,,,,,,,,,,,,,,,,,,
Avery Bradley,,0.6,1.7,1.4,0.7,0.3,1.4,7.2,,,,,,,,,,,,,,,,,,,,,
Bam Adebayo,,0,6.3,1.2,0.6,0.7,1.2,7.2,,,,,,,,,,,,,,,,,,,,,
Nik Stauskas,,1.3,2.1,1.8,0.4,0.1,1,7.2,,,,,,,,,,,,,,,,,,,,,
Ryan Arcidiacono,,1.7,2.6,4.3,0.8,0.1,0.8,7.2,,,,,,,,,,,,,,,,,,,,,
Cory Joseph,,0.9,3.2,3.8,1.5,0.2,1.2,7.2,,,,,,,,,,,,,,,,,,,,,
Shaquille Harrison,,0.3,3.8,2.3,2,0.1,0.9,7.1,,,,,,,,,,,,,,,,,,,,,
Josh Jackson,,0.6,2.2,1.5,0.7,0.7,2.3,7.1,,,,,,,,,,,,,,,,,,,,,
Dante Exum,,0.5,1.9,2.3,0.2,0.2,1.1,7.1,,,,,,,,,,,,,,,,,,,,,
Henry Ellenson,,1,3,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,
Larry Nance Jr.,,0.1,6.4,2.7,1.4,0.6,1.2,7,,,,,,,,,,,,,,,,,,,,,
Pat Connaughton,,1.1,4.5,1.7,0.5,0.7,0.4,7,,,,,,,,,,,,,,,,,,,,,
Vince Carter,,1.4,2.5,0.9,0.6,0.3,0.6,7,,,,,,,,,,,,,,,,,,,,,
Patrick Beverley,,1.2,4.2,4.4,0.7,0.3,1.2,6.9,,,,,,,,,,,,,,,,,,,,,
MarShon Brooks,,0.6,2,1.2,0.3,0.2,0.9,6.9,,,,,,,,,,,,,,,,,,,,,
Draymond Green,,0.5,7.5,7.2,1.8,0.8,3.3,6.9,,,,,,,,,,,,,,,,,,,,,
Troy Williams,,1,3.1,0.6,0.4,0.4,0.4,6.9,,,,,,,,,,,,,,,,,,,,,
Dillon Brooks,,0.6,2.1,0.9,0.7,0.4,0.8,6.8,,,,,,,,,,,,,,,,,,,,,
Gerald Green,,1.5,2.3,0.4,0.2,0.1,0.5,6.8,,,,,,,,,,,,,,,,,,,,,
Malik Beasley,,1.2,2.2,0.9,0.4,0.1,0.6,6.8,,,,,,,,,,,,,,,,,,,,,
Pau Gasol,,0.4,6.1,3.3,0.1,1,0.8,6.8,,,,,,,,,,,,,,,,,,,,,
Cameron Payne,,0.8,2.1,2.7,0.8,0.2,1.4,6.8,,,,,,,,,,,,,,,,,,,,,
JR Smith,,1.1,1.6,1.9,1,0.3,1,6.7,,,,,,,,,,,,,,,,,,,,,
