Name,POS,3PM,REB,AST,STL,BLK,TO,PTS
Jeremy Lamb,SF,1.3,4,2.6,0.7,0.4,1.1,13.2
Wesley Johnson,SF,0.6,2.8,0.4,0.7,0.5,0.5,4.2
JR Smith,SG,1.3,2.1,1.2,0.4,0.1,0.7,6.7
Jalen Brunson,PG,0.8,2.1,3.1,0.5,0.1,1.1,5.6
Robin Lopez,C,0.1,4.7,0.9,0.2,1.1,1.1,7.5
Greg Monroe,C,0.2,5.9,1.4,0.6,0.8,1,9
Frank Kaminsky,C,1.2,3.7,1.5,0.5,0.4,0.9,10.3
Nerlens Noel,C,0,6.9,1.1,1.1,1,1.1,8.6
PJ Tucker,SF,0,6.6,2.2,1,0.6,1.6,10.4
Aron Baynes,C,1.5,5.7,1.2,1.4,0.3,0.8,6.8
