NAME,POS,3PM,REB,AST,STL,BLK,TO,PTS
Kelly Olynyk,,1.5,3.9,1.9,0.6,0.4,1.4,8.9
DeMarre Carroll,,1.2,5,0.7,0.3,0.1,1.3,8.8
Dorian Finney-Smith,,1.4,4.3,0.8,1.2,0.5,1,8.7
Michael Kidd-Gilchrist,,0.3,5.6,1.2,0.4,1.2,0.6,8.7
Kevin Knox,,1.3,3.2,0.8,0.5,0.4,1.2,8.7
Allen Crabbe,,2.1,3.4,1,0.6,0.3,1.2,8.7
Jonathan Isaac,,0.7,5.2,0.9,0.7,1.1,0.9,8.6
Noah Vonleh,,0.8,8.2,1.7,0.7,1,1.3,8.6
Langston Galloway,,1.7,2.7,1.3,0.3,0.1,0.4,8.5
Rajon Rondo,,0.8,4.5,6.5,1.2,0,2.3,8.5
Josh Jackson,,0.6,3.3,2,0.9,0.5,2.3,8.4
Evan Turner,,0.2,5.1,4.2,0.8,0.3,1.9,8.4
DeAndre' Bembry,,0.8,4.4,2.5,1.4,0.6,1.6,8.4
Marvin Williams,,1.5,5.1,0.9,0.8,0.7,0.6,8.3
Terry Rozier,,1.3,4,2.3,0.7,0.3,0.7,8.3
OG Anunoby,,1.2,2.7,0.6,0.6,0.3,0.8,8.3
James Ennis III,,1.3,2.6,0.7,1,0.4,0.6,8.2
Lonzo Ball,,1.3,5.3,4.6,1.3,0.3,2,8.2
Danuel House Jr.,,1,2.8,0.8,0.3,0.2,0.8,8.2
Markelle Fultz,,0.2,3.7,3.1,0.9,0.3,1.3,8.2
Kentavious Caldwell-Pope,,1.2,2.5,0.5,0.8,0.2,0.5,8
Landry Shamet,,1.7,1.3,1,0.5,0.1,0.5,8
Miles Bridges,,1,4,1,0.7,0.7,0.5,8
Shabazz Napier,,1,1.7,1.5,0.7,0.3,0.9,7.9
Mike Muscala,,1.5,4.9,1.5,0.3,0.5,1,7.9
Boban Marjanovic,,0,4.8,0.6,0.3,0.8,0.8,7.9
Zach Collins,,0.6,4.2,1,0.4,1,1.3,7.9
Dewayne Dedmon,,0.6,6.7,0.8,1.1,1.2,1.2,7.8
Mario Hezonja,,0.8,3.5,1.2,0.8,0.1,1.4,7.7
Ryan Arcidiacono,,1.8,2.5,3.8,1,0,1,7.7
Avery Bradley,,0.8,2.2,1.7,0.8,0.5,1.4,7.7
PJ Tucker,,1.9,6.2,1.1,1.3,0.4,1,7.7
Ersan Ilyasova,,0.9,5.7,1.2,0.5,0.2,0.9,7.5
Bam Adebayo,,0,6.9,1.3,0.7,0.9,1.2,7.5
Malik Beasley,,1.3,2.3,0.8,0.4,0.1,0.5,7.5
Isaiah Canaan,,1.3,2.6,3.3,0.6,0,1.5,7.5
Larry Nance Jr.,,0.3,6.6,2.5,1.1,0.6,1.2,7.4
Doug McDermott,,1.3,1.3,0.8,0.3,0.1,0.3,7.3
Rodions Kurucs,,0.7,3.3,0.1,0.2,0,0.8,7.3
Josh Okogie,,0.9,3.3,1,0.9,0.3,1,7.3
Cory Joseph,,1,3.5,3.8,1.4,0.2,1.3,7.3
Troy Williams,,1.1,2.8,0.4,0.5,0.3,0.3,7.2
Lance Stephenson,,0.9,3.3,1.8,0.7,0.1,1.2,7.2
Jonas Jerebko,,1,5.5,1.7,0.5,0.2,0.8,7.2
MarShon Brooks,,0.7,1.8,1,0.3,0.2,0.9,7.2
Elie Okobo,,0.8,1.9,2.3,0.5,0.2,1.3,7.1
James Johnson,,1,2.1,2.8,0.5,0.1,1.1,7.1
Gerald Green,,1.6,2.5,0.5,0.4,0.1,0.6,7.1
Nik Stauskas,,1.2,1.8,1.6,0.3,0.1,1.1,7.1
Willy Hernangomez,,0.6,4.7,0.8,0.4,0.5,0.8,7.1
Austin Rivers,,1.1,2.4,1.8,0.6,0.4,1.3,7
D.J. Wilson,,2,0,0,1,0,0,7
Devin Harris,,1.1,1.9,1.2,0.9,0.3,0.6,7
Henry Ellenson,,1,3,0,0,0,0,7
Jonathon Simmons,,0.5,2.4,2.3,0.5,0.5,1.3,7
Kyle Korver,,1.7,1.9,1,0.2,0.2,1.2,7
PJ Dozier,,1,4,0,0,0,0,7
Draymond Green,,0.5,7.5,7.2,1.8,0.8,3.3,6.9
Davis Bertans,,1.6,2.6,0.9,0.4,0.4,0.5,6.9
Vince Carter,,1.4,2.4,1,0.6,0.4,0.5,6.9
Mason Plumlee,,0,5.3,2,1.2,0.9,1.3,6.9
Dillon Brooks,,0.6,2.1,0.9,0.7,0.4,0.8,6.8
Dante Exum,,0.4,1.7,2.1,0.4,0.2,1.2,6.8
Mikal Bridges,,1,2.2,1.1,1.4,0.3,0.8,6.8
Pau Gasol,,0.4,6.1,3.3,0.1,1,0.8,6.8
JR Smith,,1.1,1.6,1.9,1,0.3,1,6.7
Mo Bamba,,0.6,4.5,1.1,0.3,1.3,0.7,6.7
Justin Jackson,,1,2.9,1.5,0.5,0.2,0.3,6.7
Pat Connaughton,,1.1,4.2,2,0.5,0.7,0.5,6.7
Jamal Crawford,,1,1,2.6,0.4,0.1,1.3,6.6
Troy Daniels,,1.6,1.4,0.8,0.7,0.1,1,6.6
Marcus Smart,,1,2.6,4.1,1.5,0.5,1.3,6.5
Maxi Kleber,,1,3.8,0.7,0.5,1.3,0.6,6.5
Patrick Beverley,,1.1,3.6,3.7,0.7,0.3,1.1,6.5
Frank Kaminsky,,0.7,2.8,1.2,0.3,0.2,0.9,6.4
Aaron Holiday,,0.7,1.8,1.4,0.4,0.1,0.9,6.4
Sam Dekker,,0.6,3.7,1,1.2,0,0.6,6.3
Omari Spellman,,0.9,4.5,1,0.8,0.6,0.7,6.3
Kyle Anderson,,0.1,6.3,3.1,1.2,0.7,1.3,6.3
Tony Snell,,1.1,1.8,0.7,0.4,0.2,0.3,6.3
Darius Miller,,1.5,1.2,1.4,0.5,0.2,0.7,6.2
Richaun Holmes,,0,4.5,0.5,0.6,1,1,6.2
Alfonzo McKinnie,,0.9,3.9,0.5,0.2,0.2,0.4,6.2
Cameron Payne,,0.6,1.9,2.8,0.7,0.2,1.1,6.2
Kevon Looney,,0,5.3,1.8,0.3,0.8,0.8,6.2
David Nwaba,,0.4,2.7,0.6,0.7,0.4,0.4,6.1
Kevin Huerter,,1.2,3.3,2.1,0.6,0.3,1,6.1
Jake Layman,,0.9,2.6,0.4,0.6,0.4,0.7,6
Meyers Leonard,,1,4.5,1,0.3,0.1,0.7,6
Delon Wright,,0.8,1.9,1.5,0.6,0.3,0.8,6
Hamidou Diallo,,0.2,2.7,0.5,0.8,0.2,0.5,5.9
Derrick White,,0.4,2.9,3.4,0.6,0,1.4,5.9
Alex Abrines,,1.5,1.5,0.8,0.7,0.2,0.5,5.9
Frank Ntilikina,,0.8,1.9,2.7,0.8,0.4,1.3,5.9
Nerlens Noel,,0,5.4,0.5,1,1.3,0.5,5.9
Wayne Selden,,0.8,1.3,1.3,0.4,0.2,0.9,5.8
Wilson Chandler,,0.9,4.4,1.7,0.3,0.1,1.1,5.7
Chandler Parsons,,1,1.3,0.7,0.3,0.3,0.7,5.7
Thomas Bryant,,0.1,3.8,0.7,0.3,0.6,0.7,5.7
Ed Davis,,0,8.1,0.7,0.4,0.4,0.7,5.7
John Henson,,0.8,5.1,1,0.5,0.8,0.9,5.6
Shaquille Harrison,,0.3,3.1,2,1.6,0.2,0.8,5.6
Donte DiVincenzo,,0.9,2.7,1.4,0.5,0.1,0.8,5.6
Jakob Poeltl,,0,4.4,0.9,0.2,0.5,0.7,5.6
Dwayne Bacon,,0.6,1.7,0.9,0.2,0,0.5,5.5
Aron Baynes,,0.5,4.4,1.2,0.2,0.5,0.7,5.5
Marcin Gortat,,0,5.7,1.5,0.1,0.6,1.1,5.5
