Name,POS,3PM,REB,AST,STL,BLK,TO,PTS,,,,
Monte Morris,,0.8,2.8,3.8,0.5,0,0.5,6.8,,,,
Ricky Rubio,,1.3,2.7,6.3,0.7,0.3,2.3,6.7,,,,
Wendell Carter Jr.,,0,4.7,2.7,0,1.3,2,6.7,,,,
James Ennis III,,2,3,1,1,0,0.7,6.7,,,,
Alex Poythress,,0.7,4.7,2,0.7,0.3,1.3,6.7,,,,
Marcus Smart,,0.8,2.8,3.5,1.3,0.3,1.8,6.5,,,,
T.J. McConnell,,0,2.3,4.5,0.5,0,1.5,6.5,,,,
Kyle O'Quinn,,0,4,1.5,0.3,1,1,6.5,,,,
Cody Zeller,,0.3,6,2,0.8,0.3,0.8,6.5,,,,
Ian Clark,,1.5,0.5,0.5,0,0,1,6.5,,,,
Draymond Green,,0.3,8,5.8,2.3,0.5,4,6.3,,,,
Tyus Jones,,1.3,1.3,2.3,1,0.3,0.3,6.3,,,,
Tyler Johnson,,0.7,0.7,1.3,1,0.3,0.3,6,,,,
Frank Ntilikina,,1,2,2.8,1.8,0.3,1,6,,,,
Nerlens Noel,,0,5.7,0.3,0.7,1,0,6,,,,
Alex Abrines,,1.3,1.7,1,0.3,0,0.7,6,,,,
Alec Burks,,1,1,1.3,0.3,0,0.3,6,,,,
Hamidou Diallo,,0.3,1.7,1,1,0,0.3,6,,,,
Jarell Martin,,0,2,1,0,0,0,6,,,,
Jerami Grant,,0.3,4.3,1.7,0.3,2.3,1.3,6,,,,
Norman Powell,,0.8,2.8,0.5,0.5,0.3,1,5.8,,,,
Patrick Beverley,,0.5,5.5,5.3,1,0.3,1.5,5.8,,,,
CJ Miles,,0.5,2,0.8,0.3,0.5,0.8,5.8,,,,
Jeremy Lin,,0,2.7,1,0.3,0,1.3,5.7,,,,
Chandler Parsons,,1,1.3,0.7,0.3,0.3,0.7,5.7,,,,
Ed Davis,,0,8.3,1.7,0.7,0.7,1,5.7,,,,
Maurice Harkless,,1,6.3,1,0.3,1.3,0.7,5.7,,,,
Seth Curry,,1.3,1.7,0.7,0,0,0.7,5.7,,,,
Donte DiVincenzo,,1,2.3,0.7,0.7,0,2,5.7,,,,
